CODIGO_DO_FUNDO;SETOR;PRECO_ATUAL;LIQUIDEZ_DIARIA;DIVIDENDO;DIVIDEND_YIELD;DY_(3M)_ACUMULADO;DY_(6M)_ACUMULADO;DY_(12M)_ACUMULADO;DY_(3M)_MEDIA;DY_(6M)_MEDIA;DY_(12M)_MEDIA;DY_ANO;VARIACAO_PRECO;RENTAB._PERIODO;RENTAB._ACUMULADA;PATRIMONIO_LIQ.;VPA;P/VPA;DY_PATRIMONIAL;VARIACAO_PATRIMONIAL;RENTAB._PATR._NO_PERIODO;RENTAB._PATR._ACUMULADA;VACANCIA_FISICA;VACANCIA_FINANCEIRA;QUANTIDADE_ATIVOS
FIVN11;Shoppings;3.49;6466;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;65491905.42;6.96;0.50;;;;;56.00;;1
BZLI11;Títulos e Val Mob;16.01;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.68;0.68;1.14;433169275.63;10.54;1.52;;;;;;;0
XTED11;Lajes Corporativas;8.80;3271;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10;1.10;-37.83;27744771.31;13.29;0.66;;;;;0.00;100.00;1
ALMI11;Lajes Corporativas;916.02;121;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.27;2.27;-28.29;250321687.81;2251.56;0.41;;;;;64.05;;1
PABY11;Híbrido;23.37;3237;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-19.84;-19.84;-31.62;-11662557.74;-15.38;-1.52;;;;;;;1
ORPD11;Títulos e Val Mob;93.00;3;1.38;;;;;;;;;;;;43104334.23;148.64;0.63;;;;;;;0
GSFI11;Shoppings;5.00;334;0.00;0.03;0.03;0.03;0.03;0.01;0.00;0.00;0.03;0.00;0.03;0.03;119966356.27;13.56;0.37;;;;;10.30;;10
NEWU11;Lajes Corporativas;40.63;100;0.00;0.00;0.00;0.56;16.63;0.00;0.09;1.39;0.61;-4.04;-4.04;-31.62;48318961.55;65.12;0.62;;;;;63.20;;3
PRSV11;Lajes Corporativas;142.00;14;1.62;0.42;1.53;2.91;5.95;0.51;0.48;0.50;4.46;5.30;5.74;-11.25;47509273.51;243.64;0.58;;;;;40.90;;2
FAMB11B;Lajes Corporativas;773.00;2817;9.16;0.56;2.17;4.78;10.43;0.72;0.80;0.87;8.82;-47.80;-47.51;-47.80;317894808.56;333.35;0.25;;;;;100.00;;1
FMOF11;Lajes Corporativas;56.45;57;0.64;;;;;;;;;;;;62366731.90;122.77;0.46;;;;;52.08;;1
HGRS11;Residencial;10.03;9639;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;151997914.38;101.81;0.10;;;;;;;0
HGRS11;Residencial;10.05;50319;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;151997914.38;101.81;0.10;;;;;;;0
HGRS11;Residencial;10.03;78020;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;151997914.38;101.81;0.10;;;;;;;0
HGRS11;Residencial;10.04;89910;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;151997914.38;101.81;0.10;;;;;;;0
HGRS11;Residencial;10.04;109262;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;151997914.38;101.81;0.10;;;;;;;0
